중심	ㅈㅜㅇㅅㅣㅁ	=무게 중심.
경찰	ㄱㅕㅇㅊㅏㄹ	대한 제국 때에, 함경북도 관찰사를 이르던 말.
세금	ㅅㅓㅣㄱㅡㅁ	=셋돈.
점심	ㅈㅓㅁㅅㅣㅁ	선원에서, 배고플 때에 조금 먹는 음식을 이르는 말. 마음을 점검한다는 뜻이다.
귀족	ㄱㅜㅣㅈㅗㄱ	주로 편지 글에서, 상대편의 가족이나 겨레를 높여 이르는 말.
연방	ㅇㅕㄴㅂㅏㅇ	교대(交代)를 시키지 않고 계속 국경을 지키도록 하는 일.
한말	ㅎㅏㄴㅁㅏㄹ	=한국어.
출전	ㅊㅜㄹㅈㅓㄴ	번뇌의 얽매임에서 벗어남.
배정	ㅂㅏㅣㅈㅓㅇ	다중 프로그래밍 시스템에서, 각 프로세스에 기억 장소, 중앙 처리 장치, 입출력 장치, 버퍼 따위의 각종 자원을 사용할 수 있도록 배당하여 주는 것.
경제	ㄱㅕㅇㅈㅓㅣ	어린아이가 자다가 자주 놀라면서 우는 증상.
공동	ㄱㅗㅇㄷㅗㅇ	상하거나 염증을 일으킨 조직이 밖으로 배출되거나 흡수되어 장기(臟器)에 생긴 빈 공간.
상승	ㅅㅏㅇㅅㅡㅇ	스승에게서 제자에게로 차례로 계속해서 교법을 받아 전하는 일.
계절	ㄱㅕㅣㅈㅓㄹ	무덤 앞에 평평하게 만들어 놓은 땅. 배계절(拜階節)보다 한 층 높게 되어 있다.
공장	ㄱㅗㅇㅈㅏㅇ	시체가 없이 장례를 지내는 일. 또는 그런 장례식.
인형	ㅇㅣㄴㅎㅕㅇ	비늘과 같은 모양.
인간	ㅇㅣㄴㄱㅏㄴ	지방 수령이 섣달 그믐께 세의(歲儀)로 봉물(封物)과 함께 보내던 편지.
파트너	ㅍㅏㅌㅡㄴㅓ	2. 부부의 한쪽에서 본 다른 쪽. 배우자를 이르는 말이다.
수액	ㅅㅜㅇㅏㅣㄱ	지주막(蜘蛛膜) 하강(下腔), 뇌실(腦室) 및 척추의 중심관을 채우고 있는 액체. 뇌실 맥락총(腦室脈絡叢)에서 생성되며, 외부 충격으로부터 뇌·척수를 보호하는 역할을 한다. ≒뇌장(腦漿)·뇌척수액.
충돌	ㅊㅜㅇㄷㅗㄹ	움직이는 두 물체가 접촉하여 짧은 시간 내에 서로 힘을 미침. 또는 그런 현상.
위탁	ㅇㅜㅣㅌㅏㄱ	법률 행위나 사무의 처리를 다른 사람에게 맡겨 부탁하는 일.
성별	ㅅㅓㅇㅂㅕㄹ	신성한 일에 쓰기 위하여 보통의 것과 구별하는 일. 제사장이나 물건, 지역 따위를 구별한다.
신문	ㅅㅣㄴㅁㅜㄴ	법원이나 기타 국가 기관이 어떤 사건에 관하여 증인, 당사자, 피고인 등에게 말로 물어 조사하는 일.
동작	ㄷㅗㅇㅈㅏㄱ	봄철에 농사를 시작함. 또는 그 농사.
간대	ㄱㅏㄴㄷㅏㅣ	=간짓대.
정화	ㅈㅓㅇㅎㅗㅏ	=꼭지꽃.
약국	ㅇㅑㄱㄱㅜㄱ	3. 예전에, 한약을 지어 팔던 곳. ≒약계.
트랙	ㅌㅡㄹㅏㅣㄱ	자기 테이프나 자기 디스크에서 데이터를 물리적으로 기록하는 부분. 자기 테이프에서는 테이프 주행 방향에 병렬로 7~9개의 트랙이 있으며, 자기 디스크에서는 원판 위에 동심원 모양으로 트랙이 있다.
의용	ㅇㅡㅣㅇㅛㅇ	의학 분야에서 씀. 또는 그런 것.
출입	ㅊㅜㄹㅇㅣㅂ	2. 잠깐 다녀오려고 집 밖으로 나감.
왁스	ㅇㅗㅏㄱㅅㅡ	2. 스키의 활주면에 바르는 납. 눈의 성질과 용도에 따라 여러 종류가 있다. 3. 음반 취입에 쓰는 백랍(白蠟)으로 만든 판.
숙제	ㅅㅜㄱㅈㅓㅣ	조선 세종 때의 정대업지악 열다섯 곡 가운데 열넷째 곡. 한문 가사 3언 12구로 되어 있다.
징역	ㅈㅣㅇㅇㅕㄱ	에 정한 것으로, 한 달에서 종신(終身)까지 10등급으로 나누었다.
팔면	ㅍㅏㄹㅁㅕㄴ	여덟 개의 평면.
