가피시	ㄱㅏㅍㅣㅅㅣ	동갈칫과의 물고기. 몸의 길이는 30cm 정도이고 가늘고 길며, 입은 부리 모양이다. 등 쪽은 회색을 띤 파란색, 배 쪽은 흰색이고, 몸 옆면에는 은색 세로띠가 있다. 기수(汽水) 지역에 살며 인도, 미얀마, 말레이
가피자	ㄱㅏㅍㅣㅈㅏ	구릿빛 유약을 칠하여 나는 자기의 색깔. 중국 청나라 강희제 때 만들어졌다.
가행	ㄱㅏㅎㅏㅣㅇ	광산 운영에서, 광물을 캐는 작업을 진행하는 일. ≒가업(稼業).
가환	ㄱㅏㅎㅗㅏㄴ	
가황	ㄱㅏㅎㅗㅏㅇ	1. 고무의 탄성·내열성·신장성을 늘리기 위하여 생고무에 황을 섞어 가열하는 일. ≒화류(和硫) . 2. 약품 따위를 사용하여 가소성 물질을 탄성 물질로 변화시키는 일. ≒가류(加硫)·화류 . 3. 아마인유, 피마자
가획	ㄱㅏㅎㅗㅣㄱ	글자에 원 획 이외의 획을 더함.
가후기	ㄱㅏㅎㅜㄱㅣ	조선 시대에, 어가 행렬에서 어가 뒤를 따르는 금군(禁軍)을 지휘하는 데에 쓰던 의장기. 검은 바탕에 누런 테두리를 둘렀다.
가후리	ㄱㅏㅎㅜㄹㅣ	경사가 완만하고 바닥이 평평한 연안에 후릿그물을 쳐서 바닷가로 고기를 끌어들여 잡는 방법.
가훼	ㄱㅏㅎㅜㅓㅣ	아름다운 초목.
각각	ㄱㅏㄱㄱㅏㄱ	
각간	ㄱㅏㄱㄱㅏㄴ	신라 때에, 십칠 관등 가운데 첫째 등급. 자색 관복을 입었다. 진골만이 오를 수 있었다. ≒각찬(角粲)·간벌찬·서발한·서벌한·서불한·우벌간·우벌찬·이벌간·이벌찬·이벌한·일벌간.
각감	ㄱㅏㄱㄱㅏㅁ	조선 시대에, 규장각에 속하여 역대 임금들의 글이나 글씨·초상화 따위를 관리하는 일을 맡아보던 잡직 벼슬. 흔히 군직(軍職)에 있던 사람이 임용되었다.
각개	ㄱㅏㄱㄱㅏㅣ	
각건	ㄱㅏㄱㄱㅓㄴ	1. 대궐 잔치 때에, 춤을 추는 아이들이 쓰던 베로 만든 쓰개. 2. 향교나 지방 관아의 객사에서 심부름을 하는 사내종이 예식 때 머리에 쓰던 쓰개.
각경	ㄱㅏㄱㄱㅕㅇ	오경(五硬)의 하나. 다리가 차서 뻣뻣하고 잘 놀리지 못하는 증상이다. ≒각경증.
각계	ㄱㅏㄱㄱㅕㅣ	
각곡	ㄱㅏㄱㄱㅗㄱ	여러 가지 곡식.
각골	ㄱㅏㄱㄱㅗㄹ	=다리뼈.
각공	ㄱㅏㄱㄱㅗㅇ	여러 곳에서 바친 공물을 각 기관에 나누어 주는 일에 관한 규정.
각과	ㄱㅏㄱㄱㅗㅏ	=견과(堅果).
각국	ㄱㅏㄱㄱㅜㄱ	
각궁	ㄱㅏㄱㄱㅜㅇ	조선 후기에, 고종이 사용하던 활. 당시의 유명한 조궁장이인 장문환(張文煥)이 제작하여 진상하였다고 전한다. 중요 민속자료 제35호.
각근	ㄱㅏㄱㄱㅡㄴ	'발뒤꿈치'를 전문적으로 이르는 말.
각급	ㄱㅏㄱㄱㅡㅂ	
각내	ㄱㅏㄱㄴㅏㅣ	한 나라 내각의 안.
각단	ㄱㅏㄱㄷㅏㄴ	1. 하루에 만 리를 가고 각 지방의 말이 다 통한다는 상상의 동물. 말과 닮았는데, 두 귀 사이 또는 코 위에 뿔이 하나 있다고 한다. 2. '기린'을 달리 이르는 말. 3. 뿔의 끝.
각담	ㄱㅏㄱㄷㅏㅁ	논밭의 돌이나 풀 따위를 추려 한쪽에 나지막이 쌓아 놓은 무더기.
각대	ㄱㅏㄱㄷㅏㅣ	=각뿔대.
각돈	ㄱㅏㄱㄷㅗㄴ	=뿔복.
각동	ㄱㅏㄱㄷㅗㅇ	조선 시대에, 규장각에서 심부름을 하던 아이.
각둑	ㄱㅏㄱㄷㅜㄱ	'각둘'의 잘못.
